Year,Model,Region,Units Sold,Revenue in EUR millions,Average Transaction Price in EUR,Customer Satisfaction Score (1-10),Dealer Count,Electric vs ICE vs Hybrid classification
2019,Cayenne,Rest of World,2136,234.49,109778.0,8.7,87,ICE
2019,Cayenne,Rest of World,1546,188.39,121853.0,8.8,87,Hybrid
2019,Panamera,Rest of World,495,62.1,125460.0,8.6,87,ICE
2019,Panamera,Rest of World,807,112.38,139261.0,8.7,87,Hybrid
2019,Taycan,Rest of World,39,5.46,139947.0,8.9,87,Electric
2020,911,North America,8925,1546.75,173305.0,9.3,209,ICE
2020,718,North America,5664,535.42,94530.0,8.8,209,ICE
2020,Macan,North America,20312,1782.95,87778.0,8.6,209,ICE
2020,Cayenne,North America,12603,1588.49,126040.0,8.8,209,ICE
2020,Cayenne,North America,9126,1276.77,139905.0,8.9,209,Hybrid
2020,Panamera,North America,2402,346.0,144046.0,8.7,209,ICE
2020,Panamera,North America,3918,626.45,159891.0,8.8,209,Hybrid
2020,Taycan,North America,5397,867.18,160679.0,9.0,209,Electric
2020,Cayenne Coupe,North America,1328,191.29,144046.0,8.9,209,ICE
2020,Cayenne Coupe,North America,1087,173.8,159891.0,9.0,209,Hybrid
2020,911,Europe,9955,1645.38,165282.0,9.3,312,ICE
2020,718,Europe,6317,569.5,90154.0,8.8,312,ICE
2020,Macan,Europe,22656,1896.63,83714.0,8.6,312,ICE
2020,Cayenne,Europe,14057,1689.72,120205.0,8.8,312,ICE
2020,Cayenne,Europe,10180,1358.29,133428.0,8.9,312,Hybrid
2020,Panamera,Europe,2679,368.03,137377.0,8.7,312,ICE
2020,Panamera,Europe,4370,666.38,152489.0,8.8,312,Hybrid
2020,Taycan,Europe,6020,922.51,153240.0,9.0,312,Electric
2020,Cayenne Coupe,Europe,1481,203.46,137377.0,8.9,312,ICE
2020,Cayenne Coupe,Europe,1212,184.82,152489.0,9.0,312,Hybrid
2020,911,China,11328,2072.27,182934.0,9.1,158,ICE
2020,718,China,7189,717.33,99782.0,8.6,158,ICE
2020,Macan,China,25781,2388.73,92655.0,8.4,158,ICE
2020,Cayenne,China,15996,2128.15,133043.0,8.6,158,ICE
2020,Cayenne,China,11583,1710.55,147677.0,8.7,158,Hybrid
2020,Panamera,China,3048,463.44,152049.0,8.5,158,ICE
2020,Panamera,China,4973,839.31,168774.0,8.6,158,Hybrid
2020,Taycan,China,6851,1161.97,169606.0,8.8,158,Electric
2020,Cayenne Coupe,China,1685,256.2,152049.0,8.7,158,ICE
2020,Cayenne Coupe,China,1379,232.74,168774.0,8.8,158,Hybrid
2020,911,Asia Pacific,2746,445.05,162073.0,9.3,123,ICE
2020,718,Asia Pacific,1743,154.09,88403.0,8.8,123,ICE
2020,Macan,Asia Pacific,6250,513.05,82089.0,8.6,123,ICE
2020,Cayenne,Asia Pacific,3878,457.1,117871.0,8.8,123,ICE
2020,Cayenne,Asia Pacific,2808,367.39,130837.0,8.8,123,Hybrid
2020,Panamera,Asia Pacific,739,99.55,134710.0,8.7,123,ICE
2020,Panamera,Asia Pacific,1205,180.18,149528.0,8.7,123,Hybrid
2020,Taycan,Asia Pacific,1661,249.59,150265.0,9.0,123,Electric
2020,Cayenne Coupe,Asia Pacific,409,55.1,134710.0,8.9,123,ICE
2020,Cayenne Coupe,Asia Pacific,334,49.94,149528.0,8.9,123,Hybrid
2020,911,Rest of World,1373,211.51,154049.0,9.2,88,ICE
2020,718,Rest of World,872,73.27,84027.0,8.7,88,ICE
2020,Macan,Rest of World,3125,243.83,78025.0,8.5,88,ICE
2020,Cayenne,Rest of World,1939,217.24,112036.0,8.7,88,ICE
2020,Cayenne,Rest of World,1404,174.6,124360.0,8.8,88,Hybrid
2020,Panamera,Rest of World,369,47.25,128041.0,8.6,88,ICE
2020,Panamera,Rest of World,603,85.7,142125.0,8.7,88,Hybrid
2020,Taycan,Rest of World,830,118.55,142826.0,8.9,88,Electric
2020,Cayenne Coupe,Rest of World,205,26.25,128041.0,8.8,88,ICE
2020,Cayenne Coupe,Rest of World,167,23.73,142125.0,8.9,88,Hybrid
2021,911,North America,10770,1904.12,176798.0,9.4,211,ICE
2021,718,North America,5740,553.54,96435.0,8.9,211,ICE
2021,Macan,North America,24741,2215.49,89547.0,8.7,211,ICE
2021,Cayenne,North America,11737,1509.15,128580.0,8.9,211,ICE
2021,Cayenne,North America,8499,1213.01,142724.0,8.9,211,Hybrid
2021,Panamera,North America,3216,472.59,146949.0,8.8,211,ICE
2021,Panamera,North America,5246,855.69,163114.0,8.8,211,Hybrid
2021,Taycan,North America,11563,1895.37,163917.0,9.0,211,Electric
2021,Cayenne Coupe,North America,1663,244.38,146949.0,9.0,211,ICE
2021,Cayenne Coupe,North America,1361,222.0,163114.0,9.0,211,Hybrid
2021,911,Europe,11154,1880.71,168613.0,9.3,313,ICE
2021,718,Europe,5945,546.77,91971.0,8.8,313,ICE
2021,Macan,Europe,25625,2188.41,85401.0,8.6,313,ICE
2021,Cayenne,Europe,12156,1490.66,122628.0,8.8,313,ICE
2021,Cayenne,Europe,8803,1198.24,136117.0,8.9,313,Hybrid
2021,Panamera,Europe,3330,466.69,140146.0,8.7,313,ICE
2021,Panamera,Europe,5434,845.32,155562.0,8.8,313,Hybrid
2021,Taycan,Europe,11976,1872.19,156328.0,9.0,313,Electric
2021,Cayenne Coupe,Europe,1723,241.47,140146.0,8.9,313,ICE
2021,Cayenne Coupe,Europe,1409,219.19,155562.0,9.0,313,Hybrid
2021,911,China,12308,2296.92,186620.0,9.2,159,ICE
2021,718,China,6561,667.86,101793.0,8.7,159,ICE
2021,Macan,China,28276,2672.7,94522.0,8.4,159,ICE
2021,Cayenne,China,13414,1820.6,135724.0,8.7,159,ICE
2021,Cayenne,China,9713,1463.3,150653.0,8.7,159,Hybrid
2021,Panamera,China,3675,570.04,155113.0,8.5,159,ICE
2021,Panamera,China,5995,1032.19,172175.0,8.6,159,Hybrid
2021,Taycan,China,13215,2286.51,173024.0,8.8,159,Electric
2021,Cayenne Coupe,China,1901,294.87,155113.0,8.8,159,ICE
2021,Cayenne Coupe,China,1555,267.73,172175.0,8.8,159,Hybrid
2021,911,Asia Pacific,2693,445.26,165339.0,9.3,125,ICE
2021,718,Asia Pacific,1435,129.42,90185.0,8.8,125,ICE
2021,Macan,Asia Pacific,6185,517.95,83743.0,8.6,125,ICE
2021,Cayenne,Asia Pacific,2934,352.8,120247.0,8.8,125,ICE
2021,Cayenne,Asia Pacific,2125,283.63,133474.0,8.9,125,Hybrid
2021,Panamera,Asia Pacific,804,110.49,137425.0,8.7,125,ICE
2021,Panamera,Asia Pacific,1311,199.98,152541.0,8.8,125,Hybrid
2021,Taycan,Asia Pacific,2891,443.17,153293.0,9.0,125,Electric
2021,Cayenne Coupe,Asia Pacific,416,57.17,137425.0,8.9,125,ICE
2021,Cayenne Coupe,Asia Pacific,340,51.86,152541.0,9.0,125,Hybrid
2021,911,Rest of World,1539,241.86,157154.0,9.3,89,ICE
2021,718,Rest of World,820,70.29,85720.0,8.8,89,ICE
2021,Macan,Rest of World,3534,281.3,79597.0,8.6,89,ICE
2021,Cayenne,Rest of World,1677,191.67,114294.0,8.8,89,ICE
2021,Cayenne,Rest of World,1214,154.02,126866.0,8.8,89,Hybrid
2021,Panamera,Rest of World,459,59.96,130621.0,8.7,89,ICE
2021,Panamera,Rest of World,750,108.74,144990.0,8.7,89,Hybrid
2021,Taycan,Rest of World,1652,240.7,145704.0,8.9,89,Electric
2021,Cayenne Coupe,Rest of World,238,31.09,130621.0,8.9,89,ICE
2021,Cayenne Coupe,Rest of World,194,28.13,144990.0,8.9,89,Hybrid
2022,911,North America,10507,1894.32,180291.0,9.4,213,ICE
2022,718,North America,4733,465.45,98340.0,8.9,213,ICE
2022,Macan,North America,22548,2059.0,91316.0,8.7,213,ICE
2022,Cayenne,North America,12110,1587.87,131121.0,8.9,213,ICE
2022,Cayenne,North America,8770,1276.42,145544.0,8.9,213,Hybrid
2022,Panamera,North America,3373,505.45,149852.0,8.8,213,ICE
2022,Panamera,North America,5504,915.51,166336.0,8.8,213,Hybrid
2022,Taycan,North America,9048,1512.42,167155.0,9.1,213,Electric
2022,Cayenne Coupe,North America,2187,327.73,149852.0,9.0,213,ICE
2022,Cayenne Coupe,North America,1790,297.74,166336.0,9.0,213,Hybrid
2022,911,Europe,12123,2084.48,171944.0,9.4,314,ICE
2022,718,Europe,5461,512.17,93788.0,8.9,314,ICE
2022,Macan,Europe,26017,2265.78,87089.0,8.7,314,ICE
2022,Cayenne,Europe,13973,1747.33,125050.0,8.9,314,ICE
2022,Cayenne,Europe,10119,1404.58,138806.0,8.9,314,Hybrid
2022,Panamera,Europe,3892,556.22,142915.0,8.8,314,ICE
2022,Panamera,Europe,6351,1007.49,158635.0,8.8,314,Hybrid
2022,Taycan,Europe,10440,1664.31,159417.0,9.0,314,Electric
2022,Cayenne Coupe,Europe,2524,360.72,142915.0,9.0,314,ICE
2022,Cayenne Coupe,Europe,2065,327.58,158635.0,9.0,314,Hybrid
2022,911,China,12123,2307.09,190307.0,9.2,161,ICE
2022,718,China,5461,566.87,103804.0,8.7,161,ICE
2022,Macan,China,26017,2507.76,96389.0,8.5,161,ICE
2022,Cayenne,China,13973,1933.93,138405.0,8.7,161,ICE
2022,Cayenne,China,10119,1554.58,153630.0,8.7,161,Hybrid
2022,Panamera,China,3892,615.63,158177.0,8.6,161,ICE
2022,Panamera,China,6351,1115.09,175577.0,8.6,161,Hybrid
2022,Taycan,China,10440,1842.05,176442.0,8.8,161,Electric
2022,Cayenne Coupe,China,2524,399.24,158177.0,8.8,161,ICE
2022,Cayenne Coupe,China,2065,362.57,175577.0,8.8,161,Hybrid
2022,911,Asia Pacific,3637,613.22,168605.0,9.3,128,ICE
2022,718,Asia Pacific,1638,150.64,91967.0,8.8,128,ICE
2022,Macan,Asia Pacific,7805,666.53,85398.0,8.6,128,ICE
2022,Cayenne,Asia Pacific,4192,514.03,122622.0,8.8,128,ICE
2022,Cayenne,Asia Pacific,3036,413.23,136111.0,8.9,128,Hybrid
2022,Panamera,Asia Pacific,1168,163.68,140140.0,8.7,128,ICE
2022,Panamera,Asia Pacific,1905,296.33,155555.0,8.8,128,Hybrid
2022,Taycan,Asia Pacific,3132,489.6,156321.0,9.0,128,Electric
2022,Cayenne Coupe,Asia Pacific,757,106.09,140140.0,8.9,128,ICE
2022,Cayenne Coupe,Asia Pacific,620,96.44,155555.0,9.0,128,Hybrid
2022,911,Rest of World,2021,323.88,160259.0,9.3,91,ICE
2022,718,Rest of World,910,79.55,87414.0,8.8,91,ICE
2022,Macan,Rest of World,4336,351.95,81170.0,8.6,91,ICE
2022,Cayenne,Rest of World,2329,271.45,116552.0,8.8,91,ICE
2022,Cayenne,Rest of World,1686,218.12,129372.0,8.9,91,Hybrid
2022,Panamera,Rest of World,649,86.45,133202.0,8.7,91,ICE
2022,Panamera,Rest of World,1058,156.43,147854.0,8.8,91,Hybrid
2022,Taycan,Rest of World,1740,258.53,148583.0,9.0,91,Electric
2022,Cayenne Coupe,Rest of World,421,56.08,133202.0,8.9,91,ICE
2022,Cayenne Coupe,Rest of World,344,50.86,147854.0,9.0,91,Hybrid
2023,911,North America,13540,2488.43,183784.0,9.4,215,ICE
2023,718,North America,5540,555.36,100246.0,8.9,215,ICE
2023,Macan,North America,23586,2195.51,93085.0,8.7,215,ICE
2023,Cayenne,North America,11243,1502.75,133661.0,8.9,215,ICE
2023,Cayenne,North America,8141,1207.83,148363.0,9.0,215,Hybrid
2023,Panamera,North America,3490,533.12,152755.0,8.8,215,ICE
2023,Panamera,North America,5695,965.63,169558.0,8.9,215,Hybrid
2023,Taycan,North America,10970,1869.22,170394.0,9.1,215,Electric
2023,Cayenne Coupe,North America,2340,357.45,152755.0,9.0,215,ICE
2023,Cayenne Coupe,North America,1915,324.7,169558.0,9.1,215,Hybrid
2023,911,Europe,15545,2724.65,175275.0,9.4,315,ICE
2023,718,Europe,6361,608.14,95605.0,8.9,315,ICE
2023,Macan,Europe,27080,2404.05,88776.0,8.7,315,ICE
2023,Cayenne,Europe,12908,1645.42,127473.0,8.9,315,ICE
2023,Cayenne,Europe,9348,1322.69,141495.0,8.9,315,Hybrid
2023,Panamera,Europe,4007,583.75,145683.0,8.8,315,ICE
2023,Panamera,Europe,6539,1057.41,161708.0,8.8,315,Hybrid
2023,Taycan,Europe,12595,2046.75,162505.0,9.1,315,Electric
2023,Cayenne Coupe,Europe,2687,391.45,145683.0,9.0,315,ICE
2023,Cayenne Coupe,Europe,2199,355.6,161708.0,9.0,315,Hybrid
2023,911,China,12536,2431.91,193994.0,9.2,162,ICE
2023,718,China,5130,542.83,105815.0,8.7,162,ICE
2023,Macan,China,21839,2145.83,98257.0,8.5,162,ICE
2023,Cayenne,China,10410,1468.71,141086.0,8.7,162,ICE
2023,Cayenne,China,7538,1180.5,156606.0,8.8,162,Hybrid
2023,Panamera,China,3232,521.13,161242.0,8.6,162,ICE
2023,Panamera,China,5273,943.75,178978.0,8.7,162,Hybrid
2023,Taycan,China,10157,1826.84,179860.0,8.9,162,Electric
2023,Cayenne Coupe,China,2167,349.41,161242.0,8.8,162,ICE
2023,Cayenne Coupe,China,1773,317.33,178978.0,8.9,162,Hybrid
2023,911,Asia Pacific,5516,948.04,171872.0,9.4,130,ICE
2023,718,Asia Pacific,2257,211.59,93748.0,8.9,130,ICE
2023,Macan,Asia Pacific,9609,836.48,87052.0,8.7,130,ICE
2023,Cayenne,Asia Pacific,4580,572.49,124998.0,8.9,130,ICE
2023,Cayenne,Asia Pacific,3317,460.22,138747.0,8.9,130,Hybrid
2023,Panamera,Asia Pacific,1422,203.14,142854.0,8.8,130,ICE
2023,Panamera,Asia Pacific,2320,367.88,158568.0,8.8,130,Hybrid
2023,Taycan,Asia Pacific,4469,712.13,159350.0,9.1,130,Electric
2023,Cayenne Coupe,Asia Pacific,954,136.28,142854.0,9.0,130,ICE
2023,Cayenne Coupe,Asia Pacific,780,123.68,158568.0,9.0,130,Hybrid
2023,911,Rest of World,3009,491.56,163363.0,9.3,92,ICE
2023,718,Rest of World,1231,109.69,89107.0,8.8,92,ICE
2023,Macan,Rest of World,5241,433.65,82742.0,8.6,92,ICE
2023,Cayenne,Rest of World,2498,296.79,118810.0,8.8,92,ICE
2023,Cayenne,Rest of World,1809,238.57,131879.0,8.9,92,Hybrid
2023,Panamera,Rest of World,776,105.37,135782.0,8.7,92,ICE
2023,Panamera,Rest of World,1265,190.66,150718.0,8.8,92,Hybrid
2023,Taycan,Rest of World,2438,369.26,151461.0,9.0,92,Electric
2023,Cayenne Coupe,Rest of World,520,70.61,135782.0,8.9,92,ICE
2023,Cayenne Coupe,Rest of World,426,64.21,150718.0,9.0,92,Hybrid
2024,911,North America,14192,2657.83,187276.0,9.4,217,ICE
2024,718,North America,6594,673.58,102151.0,8.9,217,ICE
2024,Macan,North America,20299,1925.45,94854.0,8.7,217,ICE
2024,Macan,North America,2768,309.82,111928.0,8.8,217,Electric
2024,Cayenne,North America,13467,1834.22,136201.0,8.9,217,ICE
2024,Cayenne,North America,9752,1474.34,151183.0,9.0,217,Hybrid
2024,Panamera,North America,3132,487.52,155658.0,8.8,217,ICE
2024,Panamera,North America,5111,883.08,172781.0,8.9,217,Hybrid
2024,Taycan,North America,5805,1007.93,173632.0,9.1,217,Electric
2024,Cayenne Coupe,North America,2995,466.2,155658.0,9.0,217,ICE
2024,Cayenne Coupe,North America,2451,423.49,172781.0,9.1,217,Hybrid
2024,911,Europe,15282,2729.46,178606.0,9.4,316,ICE
2024,718,Europe,7101,691.79,97422.0,8.9,316,ICE
2024,Macan,Europe,21858,1977.34,90463.0,8.7,316,ICE
2024,Macan,Europe,2981,318.21,106746.0,8.8,316,Electric
2024,Cayenne,Europe,14501,1883.61,129895.0,8.9,316,ICE
2024,Cayenne,Europe,10501,1514.07,144184.0,9.0,316,Hybrid
2024,Panamera,Europe,3373,500.73,148452.0,8.8,316,ICE
2024,Panamera,Europe,5503,906.79,164782.0,8.9,316,Hybrid
2024,Taycan,Europe,6251,1035.12,165593.0,9.1,316,Electric
2024,Cayenne Coupe,Europe,3226,478.91,148452.0,9.0,316,ICE
2024,Cayenne Coupe,Europe,2639,434.86,164782.0,9.1,316,Hybrid
2024,911,China,9322,1842.78,197681.0,9.2,164,ICE
2024,718,China,4332,467.1,107826.0,8.7,164,ICE
2024,Macan,China,13333,1334.95,100124.0,8.5,164,ICE
2024,Macan,China,1818,214.79,118146.0,8.6,164,Electric
2024,Cayenne,China,8846,1271.77,143768.0,8.7,164,ICE
2024,Cayenne,China,6405,1022.12,159582.0,8.8,164,Hybrid
2024,Panamera,China,2057,337.98,164306.0,8.6,164,ICE
2024,Panamera,China,3357,612.25,182380.0,8.7,164,Hybrid
2024,Taycan,China,3813,698.84,183278.0,8.9,164,Electric
2024,Cayenne Coupe,China,1968,323.35,164306.0,8.8,164,ICE
2024,Cayenne Coupe,China,1610,293.63,182380.0,8.9,164,Hybrid
2024,911,Asia Pacific,7387,1293.74,175138.0,9.4,133,ICE
2024,718,Asia Pacific,3432,327.86,95530.0,8.9,133,ICE
2024,Macan,Asia Pacific,10564,937.09,88706.0,8.7,133,ICE
2024,Macan,Asia Pacific,1441,150.83,104673.0,8.8,133,Electric
2024,Cayenne,Asia Pacific,7009,892.76,127373.0,8.9,133,ICE
2024,Cayenne,Asia Pacific,5075,717.52,141384.0,9.0,133,Hybrid
2024,Panamera,Asia Pacific,1630,237.28,145569.0,8.8,133,ICE
2024,Panamera,Asia Pacific,2660,429.81,161582.0,8.9,133,Hybrid
2024,Taycan,Asia Pacific,3021,490.54,162378.0,9.1,133,Electric
2024,Cayenne Coupe,Asia Pacific,1559,226.94,145569.0,9.0,133,ICE
2024,Cayenne Coupe,Asia Pacific,1276,206.18,161582.0,9.1,133,Hybrid
2024,911,Rest of World,4758,792.05,166468.0,9.4,93,ICE
2024,718,Rest of World,2211,200.76,90801.0,8.9,93,ICE
2024,Macan,Rest of World,6805,573.76,84315.0,8.7,93,ICE
2024,Macan,Rest of World,928,92.33,99492.0,8.7,93,Electric
2024,Cayenne,Rest of World,4515,546.62,121068.0,8.9,93,ICE
2024,Cayenne,Rest of World,3269,439.3,134385.0,8.9,93,Hybrid
2024,Panamera,Rest of World,1050,145.28,138363.0,8.8,93,ICE
2024,Panamera,Rest of World,1713,263.09,153583.0,8.8,93,Hybrid
2024,Taycan,Rest of World,1946,300.34,154339.0,9.0,93,Electric
2024,Cayenne Coupe,Rest of World,1004,138.92,138363.0,9.0,93,ICE
2024,Cayenne Coupe,Rest of World,822,126.25,153583.0,9.0,93,Hybrid
